Municipio,Latitud,Longitud,Nombre,Categoría,Distancia,Dirección
aldea-del-fresno,40.3215212,-4.19936,Bar el Rincon del Fresno,restaurantes,455,"Calle Marquesa de Manzanedo, 20, 28620 Aldea del Fresno Madrid"
aldea-del-fresno,40.3215212,-4.19936,Cafeteria Hermanos Noriega,restaurantes,460,"Carretera Madrid, 19, 28620 Aldea del Fresno Comunidad de Madrid"
aldea-del-fresno,40.3215212,-4.19936,El Jardín,restaurantes,468,"Carretera Madrid, 12, 28620 Aldea del Fresno Comunidad de Madrid"
aldea-del-fresno,40.3215212,-4.19936,La Cervecería,restaurantes,722,"Calle Perales, 2010, Aldea del Fresno Madrid"
aldea-del-fresno,40.3215212,-4.19936,Bar Cosmos,bares,210,"Carretera Chapineria, s/n, 28620 Aldea del Fresno Madrid"
aldea-del-fresno,40.3215212,-4.19936,El Barril,bares,396,"Carretera Madrid, 14, 28620 Aldea del Fresno Comunidad de Madrid"
algete,40.5961652,-3.4974246,África Park,parques,200,Algete Comunidad de Madrid
algete,40.5961652,-3.4974246,Parque de el Cigarral,parques,265,Algete Comunidad de Madrid
algete,40.5961652,-3.4974246,Parque de los Olivos,parques,462,28110 Algete Comunidad de Madrid
algete,40.5961652,-3.4974246,Parque de las Fuentes,parques,505,28110 Algete Comunidad de Madrid
algete,40.5961652,-3.4974246,Estanque de Patos Cobeña,parques,1744,Cobeña
algete,40.5961652,-3.4974246,Restaurante Gafotas,restaurantes,59,"Calle San Roque, 24, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,El Parador de Algete,restaurantes,59,"Calle Mayor, s/n, 28110 Algete Madrid"
algete,40.5961652,-3.4974246,El Rincón de Portugal,restaurantes,70,"Calle Fraguas, 3, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,La Esquinita de Pablo,restaurantes,92,"Limón Verde, 7, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,El Mexi Bar de Copas,restaurantes,146,"Calle Limon Verde, 3, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Maria Teresa Trapete de las Cuevas,restaurantes,152,"Calle de la Paloma, 13, 28110 Algete Madrid"
algete,40.5961652,-3.4974246,El Obrador,restaurantes,164,"Ofelia Nieto, 1, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Asador de Algete,restaurantes,208,"Calle San Roque, 25, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Oca del Cielo,restaurantes,248,"Calle San Roque, 34, 28110 Algete Madrid"
algete,40.5961652,-3.4974246,Restaurante Jorge Algete,restaurantes,281,"San Roque, 35 (mayor), 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Cafeteria la Torre de Algete,bares,54,"Calle Fraguas, 6, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,El Rincón de Portugal,bares,70,"Calle Fraguas, 3, 28110 Algete Comunidad de Madrid"
